AGE,SCHOOL TYPE,GENDER,CASTE,FAMILY INCOME,OCCUPATION,MARRIED(YES/NO),ACADEMIC MARKS,NO OF SIBLINGS,WORK(YES/NO),CLASS,LOCATION,DROPOUT
15,GOVT,F,SC,98406,LABOUR,NO,72,3,NO,4,URBAN,N
14,PVT,M,GEN,93981,TEACHER,NO,60,2,NO,4,RURAL,Y
9,PVT,M,GEN,84054,OTHERS,NO,62,4,YES,3,RURAL,Y
14,GOVT,M,SC,77972,FARMER,NO,59,5,YES,3,RURAL,Y
15,GOVT,F,GEN,102737,ACCOUNTANT,YES,77,2,NO,3,URBAN,N
15,GOVT,M,SC,122583,FARMER,NO,62,4,YES,3,RURAL,Y
15,GOVT,M,SC,86420,LABOUR,NO,55,4,YES,4,RURAL,Y
12,GOVT,M,GEN,106501,FARMER,NO,74,4,NO,4,RURAL,Y
17,GOVT,F,GEN,141777,ACCOUNTANT,NO,76,3,NO,9,URBAN,N
14,GOVT,M,OBC,77413,FARMER,NO,63,4,YES,5,RURAL,Y
12,GOVT,M,OBC,113681,LABOUR,NO,59,2,YES,3,RURAL,Y
13,GOVT,M,SC,59000,LABOUR,NO,55,5,YES,3,RURAL,Y
13,GOVT,M,OBC,112329,LABOUR,NO,77,4,YES,4,RURAL,Y
17,GOVT,M,GEN,97680,LABOUR,NO,55,4,NO,4,RURAL,N
18,PVT,F,GEN,278150,BUSINESS,YES,89,1,NO,9,URBAN,N
16,PVT,F,SC,243708,BUSINESS,NO,59,2,YES,9,URBAN,N
17,GOVT,F,GEN,111883,LABOUR,NO,77,2,NO,12,RURAL,N
14,GOVT,M,OBC,89414,TEACHER,NO,71,2,NO,3,RURAL,Y
17,PVT,F,GEN,300000,OTHERS,NO,89,2,YES,9,RURAL,N
12,GOVT,M,SC,84615,LABOUR,NO,72,5,YES,4,RURAL,Y
12,GOVT,M,OBC,59000,LABOUR,YES,55,5,YES,4,RURAL,Y
17,PVT,M,OBC,68705,LABOUR,NO,60,3,YES,4,RURAL,N
16,GOVT,M,GEN,119102,BUSINESS,NO,59,1,NO,3,RURAL,Y
14,GOVT,M,OBC,125748,FARMER,NO,61,3,YES,12,RURAL,Y
16,PVT,F,GEN,283257,LABOUR,NO,83,2,NO,9,URBAN,N
17,PVT,F,GEN,239753,ACCOUNTANT,NO,87,1,NO,9,RURAL,N
18,PVT,F,GEN,300000,ACCOUNTANT,YES,87,1,NO,8,URBAN,N
17,PVT,F,GEN,218454,BUSINESS,NO,87,1,NO,10,URBAN,N
13,GOVT,M,OBC,82741,FARMER,NO,67,3,YES,5,RURAL,Y
18,PVT,F,GEN,300000,BUSINESS,NO,76,2,NO,9,URBAN,N
14,GOVT,M,SC,59000,LABOUR,NO,61,5,YES,3,RURAL,Y
17,PVT,F,GEN,300000,TEACHER,YES,87,1,NO,11,URBAN,N
17,PVT,F,GEN,170407,OTHERS,NO,60,1,NO,9,URBAN,N
13,GOVT,M,SC,59000,FARMER,NO,61,4,YES,5,RURAL,Y
15,GOVT,M,OBC,103832,LABOUR,NO,61,3,YES,5,RURAL,Y
15,GOVT,M,GEN,66421,OTHERS,NO,62,4,NO,3,RURAL,Y
11,GOVT,M,ST,73739,BUSINESS,NO,64,2,YES,4,RURAL,Y
12,GOVT,M,OBC,124109,FARMER,NO,62,4,YES,5,RURAL,Y
18,GOVT,M,OBC,91655,FARMER,NO,64,2,YES,5,RURAL,Y
14,GOVT,M,SC,59000,LABOUR,YES,59,5,YES,3,RURAL,Y
11,GOVT,M,OBC,59000,FARMER,NO,55,4,YES,3,RURAL,Y
18,PVT,F,GEN,161718,BUSINESS,YES,77,5,NO,8,URBAN,N
18,GOVT,M,GEN,158961,BUSINESS,NO,89,1,NO,11,RURAL,N
14,GOVT,M,GEN,125493,LABOUR,NO,61,1,YES,4,RURAL,Y
17,PVT,F,SC,256943,LABOUR,YES,80,1,NO,8,URBAN,N
13,GOVT,M,SC,59000,OTHERS,YES,67,5,YES,4,RURAL,Y
18,PVT,F,GEN,300000,ACCOUNTANT,NO,89,2,NO,10,RURAL,N
18,PVT,F,OBC,300000,TEACHER,NO,89,1,NO,9,URBAN,N
18,PVT,F,GEN,300000,FARMER,NO,84,1,NO,9,URBAN,N
17,GOVT,F,GEN,102421,BUSINESS,NO,89,1,NO,9,URBAN,N
14,GOVT,M,OBC,79524,LABOUR,NO,63,4,YES,4,RURAL,N
18,GOVT,M,GEN,126943,OTHERS,NO,79,1,NO,11,RURAL,N
14,GOVT,M,ST,79034,LABOUR,YES,56,5,NO,3,URBAN,Y
17,PVT,F,GEN,300000,BUSINESS,YES,89,1,NO,8,URBAN,N
18,PVT,F,GEN,300000,OTHERS,YES,87,1,NO,10,URBAN,N
12,GOVT,M,GEN,64513,LABOUR,NO,70,5,NO,3,RURAL,Y
13,GOVT,M,SC,97805,LABOUR,NO,63,5,YES,4,RURAL,Y
16,PVT,F,ST,180322,ACCOUNTANT,NO,87,2,YES,11,RURAL,N
12,GOVT,M,SC,125940,ACCOUNTANT,NO,60,3,YES,10,RURAL,Y
17,PVT,M,GEN,128897,LABOUR,NO,81,1,NO,9,URBAN,N
17,PVT,F,SC,264598,LABOUR,NO,89,3,NO,10,URBAN,N
11,GOVT,M,OBC,60328,LABOUR,NO,55,5,YES,4,RURAL,Y
18,PVT,F,GEN,113762,OTHERS,YES,77,2,NO,10,URBAN,N
13,GOVT,M,SC,59000,TEACHER,NO,56,5,NO,4,RURAL,Y
12,GOVT,F,ST,93084,LABOUR,NO,76,4,NO,3,RURAL,Y
13,GOVT,M,ST,136828,LABOUR,NO,63,4,YES,4,RURAL,Y
16,PVT,F,GEN,187435,ACCOUNTANT,YES,89,1,NO,10,RURAL,N
17,PVT,F,GEN,219859,ACCOUNTANT,YES,89,2,NO,10,URBAN,N
18,PVT,F,GEN,270558,ACCOUNTANT,NO,89,2,NO,8,RURAL,N
15,GOVT,M,SC,101631,LABOUR,NO,61,5,YES,4,RURAL,Y
13,GOVT,M,OBC,59000,LABOUR,NO,62,4,YES,3,RURAL,Y
12,GOVT,M,GEN,72640,LABOUR,NO,76,4,NO,3,RURAL,Y
17,PVT,F,GEN,300000,ACCOUNTANT,NO,89,1,NO,11,URBAN,N
12,GOVT,M,SC,59000,FARMER,YES,60,5,YES,4,RURAL,Y
17,GOVT,M,GEN,113106,ACCOUNTANT,NO,87,1,NO,11,RURAL,N
12,GOVT,M,ST,94477,LABOUR,YES,65,3,YES,3,RURAL,Y
16,GOVT,F,SC,300000,LABOUR,NO,89,2,YES,4,URBAN,N
17,PVT,F,GEN,254548,OTHERS,NO,89,1,NO,11,URBAN,N
18,PVT,F,SC,247369,BUSINESS,NO,85,3,NO,10,URBAN,N
16,GOVT,M,GEN,112336,LABOUR,YES,55,4,YES,3,RURAL,Y
18,PVT,F,GEN,300000,TEACHER,NO,81,1,NO,11,RURAL,N
15,GOVT,M,ST,88867,OTHERS,NO,56,3,YES,3,RURAL,Y
17,PVT,F,GEN,300000,ACCOUNTANT,NO,85,1,NO,11,URBAN,N
18,PVT,F,GEN,300000,ACCOUNTANT,NO,89,1,NO,9,RURAL,N
18,GOVT,F,GEN,91489,OTHERS,NO,64,2,YES,11,RURAL,N
18,PVT,F,GEN,295103,ACCOUNTANT,NO,89,1,NO,11,URBAN,N
17,PVT,F,GEN,300000,ACCOUNTANT,NO,89,1,NO,11,RURAL,N
11,GOVT,M,SC,124145,LABOUR,NO,61,4,YES,5,RURAL,Y
16,PVT,M,GEN,112337,LABOUR,YES,87,2,NO,10,URBAN,N
14,GOVT,M,OBC,69301,LABOUR,YES,57,5,YES,4,RURAL,Y
12,GOVT,M,ST,115628,LABOUR,NO,58,3,YES,5,RURAL,Y
15,PVT,F,GEN,290882,ACCOUNTANT,NO,89,1,NO,8,URBAN,N
12,GOVT,M,SC,66505,LABOUR,YES,58,5,YES,5,RURAL,Y
16,GOVT,M,OBC,59000,TEACHER,YES,55,5,NO,4,RURAL,Y
12,GOVT,F,SC,68043,LABOUR,NO,59,3,YES,4,URBAN,N
17,PVT,F,GEN,282235,TEACHER,NO,83,3,NO,3,RURAL,N
13,GOVT,M,ST,59000,OTHERS,YES,74,5,NO,4,RURAL,Y
17,PVT,F,GEN,227133,BUSINESS,NO,89,1,NO,10,URBAN,N
15,PVT,M,GEN,186658,LABOUR,NO,73,3,NO,5,URBAN,N
13,GOVT,M,OBC,87896,LABOUR,NO,55,2,YES,5,RURAL,Y
18,PVT,F,GEN,203702,ACCOUNTANT,NO,82,2,NO,11,RURAL,N
16,PVT,F,GEN,235434,ACCOUNTANT,NO,87,2,NO,7,URBAN,N
14,GOVT,M,OBC,69147,LABOUR,YES,64,4,YES,4,RURAL,N
17,PVT,F,GEN,226751,TEACHER,NO,86,1,NO,8,URBAN,N
18,PVT,F,GEN,212257,ACCOUNTANT,NO,89,1,NO,10,RURAL,N
13,GOVT,M,ST,123884,FARMER,NO,75,3,NO,3,RURAL,Y
16,PVT,F,GEN,157369,ACCOUNTANT,NO,89,1,NO,12,URBAN,N
11,GOVT,M,ST,66994,LABOUR,NO,68,4,YES,4,RURAL,Y
17,GOVT,F,GEN,137929,ACCOUNTANT,NO,60,3,NO,3,URBAN,Y
10,GOVT,M,OBC,76450,OTHERS,YES,77,4,YES,3,RURAL,Y
12,GOVT,F,SC,83597,LABOUR,YES,60,4,YES,4,URBAN,N
18,PVT,M,GEN,156289,TEACHER,NO,89,1,NO,11,RURAL,N
13,GOVT,M,GEN,101911,OTHERS,YES,55,1,YES,10,RURAL,N
11,GOVT,M,GEN,111877,BUSINESS,YES,66,5,NO,3,RURAL,N
14,GOVT,M,OBC,120204,FARMER,NO,62,4,YES,5,RURAL,Y
18,PVT,M,GEN,300000,ACCOUNTANT,NO,89,2,NO,10,URBAN,N
17,PVT,M,GEN,133429,ACCOUNTANT,NO,87,1,NO,10,URBAN,N
16,GOVT,F,GEN,164118,TEACHER,NO,86,2,NO,10,RURAL,N
12,GOVT,M,ST,68907,OTHERS,NO,62,4,YES,4,RURAL,Y
11,GOVT,F,OBC,90516,OTHERS,NO,72,4,YES,6,RURAL,Y
16,PVT,F,GEN,300000,ACCOUNTANT,NO,82,2,NO,11,RURAL,N
12,GOVT,M,SC,98889,LABOUR,NO,55,5,YES,3,RURAL,Y
17,PVT,F,GEN,270721,ACCOUNTANT,YES,87,2,NO,8,URBAN,N
10,GOVT,M,OBC,127853,BUSINESS,NO,66,3,YES,4,RURAL,Y
12,GOVT,F,ST,102753,LABOUR,NO,60,3,YES,4,RURAL,Y
12,GOVT,M,ST,89571,LABOUR,NO,67,5,YES,3,RURAL,Y
